E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,+3.7705789098e+02,-2.2766626920e+02,-2.3662683490e+02
5.0000000000e+02,+3.5140344360e+02,+2.0240132554e+02,+2.9248276107e+02
5.0000000000e+02,+1.6405418209e+01,+1.8042391586e+02,-4.6602029474e+02
5.0000000000e+02,-3.1869733059e+01,+3.1184648485e+02,-3.8952911608e+02
5.0000000000e+02,-4.1530242217e+01,+1.2010650292e+02,+4.8357678729e+02
5.0000000000e+02,-4.8071036471e+01,+4.9746643173e+02,-1.4600240428e+01
5.0000000000e+02,-3.3130822003e+02,+1.4676886378e+02,+3.4451503049e+02
5.0000000000e+02,+2.7860544981e+01,+3.3086220455e+02,-3.7383262820e+02
5.0000000000e+02,+2.2249977718e+01,-1.1227389495e+02,+4.8671999474e+02
5.0000000000e+02,-2.7350993717e+02,-2.9100354808e+02,-3.0084230344e+02
5.0000000000e+02,+2.1451606021e+02,+3.9483163069e+02,-2.1928904576e+02
5.0000000000e+02,-3.6233864406e+02,+6.2885459608e+01,-3.3875207491e+02
5.0000000000e+02,-2.0048409404e+02,-4.5437455855e+02,+5.7850936473e+01
5.0000000000e+02,-1.1155433511e+02,+2.4067421170e+02,-4.2382590342e+02
5.0000000000e+02,+2.9550623640e+02,-2.1012410624e+01,-4.0277957386e+02
5.0000000000e+02,-3.7663088162e+02,-1.3247274100e+02,+3.0099334573e+02
5.0000000000e+02,+1.7646017557e+02,-2.9381917847e+02,-3.6404524316e+02
5.0000000000e+02,+1.1056493473e+02,-3.1784625464e+02,+3.6979182778e+02
5.0000000000e+02,+2.3673155509e+02,-5.7550656493e+01,+4.3662676857e+02
5.0000000000e+02,+2.3184269654e+02,-4.1050964826e+02,-1.6651617046e+02
5.0000000000e+02,+1.3189438915e+02,+2.6361352328e+02,-4.0386708547e+02
5.0000000000e+02,-3.7672074435e+02,-2.6832728736e+02,-1.8994417576e+02
5.0000000000e+02,-1.0111591749e+02,-4.2065738214e+02,-2.5063874472e+02
5.0000000000e+02,-6.9333730768e+01,+1.8048739241e+02,-4.6110083195e+02
5.0000000000e+02,-4.3593268532e+02,+1.0209625680e+02,-2.2256659788e+02
5.0000000000e+02,-1.3283089121e+02,-4.0077550247e+02,+2.6782791720e+02
5.0000000000e+02,+1.1970837144e+02,-1.1400809862e+01,+4.8532130554e+02
5.0000000000e+02,-3.5590884656e+01,+2.2668435660e+02,+4.4423454804e+02
5.0000000000e+02,+1.3147777103e+02,-1.9219917075e+02,-4.4245894359e+02
5.0000000000e+02,+2.8611966263e+02,-2.0935442264e+02,+3.5256645707e+02
5.0000000000e+02,+3.0551502187e+01,-2.6794093273e+02,-4.2103575211e+02
5.0000000000e+02,+1.2001007047e+02,-4.2634455040e+02,-2.3200161551e+02
5.0000000000e+02,+1.0874927023e+02,+2.1634876616e+02,-4.3745131143e+02
5.0000000000e+02,-1.9134188150e+02,-4.0633868999e+02,-2.1971343990e+02
5.0000000000e+02,-1.5712942475e+02,+2.9108674412e+02,+3.7493425230e+02
5.0000000000e+02,+4.6053751371e+02,+1.8055311568e+02,-7.2819043906e+01
5.0000000000e+02,-5.3791551688e+01,+1.6189263031e+02,+4.6999371005e+02
